"planning_unit","number"
1,0
2,0
3,14
4,2
5,43
6,100
7,0
8,0
9,100
10,100
11,100
12,100
13,100
14,0
15,100
16,0
17,0
18,0
19,0
20,100
21,100
22,100
23,100
24,100
25,100
26,0
27,0
28,0
29,8
30,34
31,0
32,95
33,3
34,0
35,0
36,16
37,100
38,100
39,100
40,25
41,0
42,0
43,0
44,100
45,0
46,0
47,0
48,14
49,0
50,0
51,0
52,0
53,100
54,100
55,0
56,0
57,0
58,0
59,0
60,5
61,0
62,0
63,0
64,29
65,6
66,0
67,0
68,0
69,0
70,0
71,100
72,100
73,0
74,0
75,100
76,0
77,100
78,0
79,0
80,0
81,0
82,0
83,0
84,100
85,0
86,0
87,0
88,100
89,0
90,3
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,15
111,0
112,0
113,0
114,85
115,0
116,14
117,100
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,100
152,0
153,100
154,100
155,100
156,100
157,100
158,0
159,0
160,0
161,100
162,100
163,100
164,100
165,100
166,100
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,100
176,100
177,100
178,100
179,100
180,100
181,0
182,100
183,15
184,0
185,1
186,0
187,0
188,0
189,100
190,0
191,0
192,100
193,100
194,0
195,0
196,0
197,0
198,0
199,79
200,100
201,0
202,0
203,0
204,98
205,100
206,100
207,100
208,100
209,100
210,100
211,0
212,0
213,0
214,0
215,0
216,0
217,80
218,27
219,0
220,0
221,98
222,100
223,0
224,0
225,0
226,0
227,0
228,39
229,0
230,0
231,100
232,100
233,100
234,100
235,90
236,0
237,0
238,54
239,0
240,100
241,0
242,100
243,100
244,0
245,82
246,98
247,0
248,0
249,24
250,1
251,100
252,100
253,9
254,3
255,0
256,0
257,0
258,0
259,0
260,0
261,60
262,100
263,0
264,100
265,100
266,98
267,3
268,0
269,0
270,0
271,8
272,0
273,0
274,92
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,0
296,100
297,100
298,100
299,0
300,0
301,100
302,100
303,100
304,100
305,100
306,0
307,100
308,100
309,100
310,100
311,100
312,100
313,0
314,100
315,100
316,0
317,100
318,100
319,100
320,100
321,100
322,100
323,0
324,0
325,100
326,0
327,0
328,0
329,0
330,0
331,0
332,100
333,100
334,0
335,0
336,100
337,100
338,100
339,100
340,100
341,100
342,100
343,100
344,100
345,0
346,0
347,0
348,0
349,0
350,100
351,0
352,0
353,0
354,0
355,0
356,100
357,100
358,100
359,0
360,0
361,0
362,0
363,0
364,84
365,0
366,0
367,0
368,0
369,100
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,100
400,1
401,0
402,43
403,0
404,0
405,0
406,100
407,100
408,100
409,100
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,100
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,100
432,100
433,100
434,100
435,0
436,4
437,0
438,34
439,0
440,0
441,0
442,100
443,100
444,1
445,0
446,0
447,0
448,100
449,38
450,5
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,100
462,100
463,100
464,0
465,0
466,99
467,0
468,0
469,0
470,3
471,0
472,100
473,100
474,0
475,56
476,0
477,3
478,99
479,99
480,0
481,0
482,0
483,100
484,0
485,100
486,92
487,100
488,100
489,3
490,0
491,100
492,0
493,100
494,0
495,100
496,100
497,100
498,100
499,0
500,0
501,100
502,100
503,100
504,100
505,100
506,100
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,100
516,100
517,41
518,100
519,100
520,0
521,0
522,6
523,0
524,0
525,0
526,54
527,100
528,100
529,0
530,0
531,0
532,99
533,84
534,100
535,12
536,0
537,0
538,0
539,0
540,0
541,0
542,100
543,100
544,100
545,0
546,100
547,100
548,100
549,100
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,4
559,80
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,32
572,100
573,0
574,97
575,100
576,100
577,38
578,0
579,100
580,78
581,39
582,100
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,100
591,100
592,100
593,100
594,100
595,100
596,100
597,100
598,100
599,100
600,0
601,100
602,100
603,0
604,100
605,100
606,100
607,100
608,0
609,100
610,100
611,100
612,100
613,100
614,100
615,100
616,100
617,100
618,100
619,100
620,0
621,0
622,0
623,100
624,100
625,0
626,100
627,0
628,0
629,0
630,0
631,0
632,100
633,0
634,0
635,100
636,0
637,100
638,100
639,100
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,100
651,0
652,0
653,100
654,0
655,100
656,100
657,0
658,0
659,100
660,0
661,0
662,100
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
